overdue, is_yun, career_state, sort_time, career_talk_id, company_id, company_name, logo, hotcount, professionals, career_type, recruit_type, company_review, company_property, industry_category, city_name, meet_name, meet_time, school_name, address, room, view_count, recept_faculty, is_above_college_degree, is_above_bachelor_degree, is_above_master_degree, is_above_doctor_degree, is_recommend, recommend_time, meet_day
0, 0, 0, -1522321200, 89541, 15506, 明基智能科技（上海）有限公司, http://yun-campus-res.oss-cn-shenzhen.aliyuncs.com/company/1474878333-9893.png, 22, 设计学类、计算机类、艺术设计学、信息与计算科学、计算机科学与技术、软件工程、会计学、金融学、不限专业, , 正式宣讲, 实现科技生活的真善美, 三资企业, 信息传输、软件和信息技术服务业, 苏州, 明基智能科技（上海）有限公司, 19:00, , 【常】复临舍201, , 3858, 毕业生就业指导中心, 0, 1, 0, 0, 0, 0, 2018-03-29
0, 0, 1, -1522321200, 95957, 125538, 江苏塔菲尔新能源科技股份有限公司, http://yun-campus-res.oss-cn-shenzhen.aliyuncs.com/company/1521006859-9992.png, 2, 能源动力类、机械类、电子信息类、自动化类、机械类、机械设计制造及其自动化、车辆工程、自动化类、工商管理、机械类、机械工程、电气工程及其自动化、自动化类、自动化、机械类、仪器类、自动化类、力学类、机械类、力学类、工程力学、机械类、车辆工程、机械工艺技术, , 正式宣讲, , 民营企业, 科学研究和技术服务业, 南京, 江苏塔菲尔新能源科技股份有限公司, 19:00, , 复临舍403, , 2305, 毕业生就业指导中心, 1, 1, 1, 0, 0, 0, 2018-03-29
0, 0, 0, -1522321200, 92389, 116663, 中蓝连海设计研究院有限公司, http://yun-campus-res.oss-cn-shenzhen.aliyuncs.com/company/1517274312-7611.png, 0, 电气类、不限专业, , 正式宣讲, None, 国有企业, 科学研究和技术服务业, 连云港, 中蓝连海设计研究院有限公司2018招聘, 19:00, , 复临舍309, None, 3279, 毕业生就业指导中心, 0, 1, 0, 0, 0, 0, 2018-03-29
0, 0, 0, -1522306800, 94497, 80368, 阳光城集团湖南区域公司（长沙中泛置业有限公司）, http://yun-campus-res.oss-cn-shenzhen.aliyuncs.com/company/1507511638-5173.png, 1, 不限专业, , 正式宣讲, , 民营企业, 房地产业, 长沙, 阳光城集团湖南区域公司（长沙中泛置业有限公司）, 15:00, , 【常】复临舍201, , 4425, 毕业生就业指导中心, 0, 1, 0, 0, 0, 0, 2018-03-29
0, 0, 0, -1522306800, 97374, 128345, 深圳市凯盛科技工程有限公司, http://pic.bibibi.net/public/images/icon/1.png, 0, 电气工程及其自动化、能源与动力工程、电气工程、自动化、动力工程、环境工程, , 正式宣讲, , 科研设计单位, 科学研究和技术服务业, 深圳, 深圳市凯盛科技工程有限公司, 15:00, , 复临舍209, , 2878, 毕业生就业指导中心, 0, 1, 0, 0, 0, 0, 2018-03-29
0, 0, 0, -1522306800, 97387, 129436, 中国建材国际工程集团有限公司深圳分公司, http://yun-campus-res.oss-cn-shenzhen.aliyuncs.com/company/1552876371-4892.jpg, 0, 给排水科学与工程、环境工程、电气类、电气工程及其自动化、自动化类、自动化、建筑环境与能源应用工程、农业建筑环境与能源工程、建筑学、工程力学、土木类、土木工程, , 正式宣讲, , 科研设计单位, 科学研究和技术服务业, 深圳, 中国建材国际工程集团有限公司深圳公司宣讲会, 15:00, , 【临】复临舍209, , 2650, 毕业生就业指导中心, 0, 0, 0, 0, 0, 0, 2018-03-29
0, 0, 0, -1522306800, 93902, 124329, 同程网络科技股份有限公司, http://yun-campus-res.oss-cn-shenzhen.aliyuncs.com/company/1520844411-4856.png, 0, 计算机类、计算机科学与技术、软件工程、网络工程、信息安全、计算机科学与技术、计算机类、软件工程、网络工程、物联网工程, , , None, 民营企业, 信息传输、软件和信息技术服务业, 苏州, 同程艺龙 • 2018春季校园招聘, 15:00, , 【常】复临舍105, None, 3498, 毕业生就业指导中心, 0, 1, 0, 0, 0, 0, 2018-03-29
0, 0, 0, -1522306800, 96225, 126650, 浏阳市经济和信息化局, http://pic.bibibi.net/public/images/icon/1.png, 0, 会计学、财务管理、市场营销, , 正式宣讲, , 其他事业单位, 公共管理、社会保障和社会组织, 长沙, 浏阳市经济和信息化局, 15:00, , 【常】招生与就业指导处309, , 2400, 毕业生就业指导中心, 0, 0, 0, 0, 0, 0, 2018-03-29
0, 0, 0, -1522306800, 95990, 111096, 泰康人寿保险有限责任公司湖南分公司, http://yun-campus-res.oss-cn-shenzhen.aliyuncs.com/company/1513760553-2100.png, 5, 预防医学、医学检验、临床医学类、基础医学类、中西医结合类、金融学、酒店管理、行政管理、旅游管理、工商管理、法学、人力资源管理、法学、信息与计算科学、计算机科学与技术、会计学、不限专业, , 正式宣讲, 坚持专业化，深耕寿险产业链，从摇篮到天堂，让保险更安心、更便捷、更实惠，让人们更健康、更长寿、更富足, 其他, 金融业, 长沙, 泰康人寿保险有限责任公司湖南分公司, 15:00, , 【常】复临舍101, , 3215, 毕业生就业指导中心, 0, 1, 0, 0, 0, 0, 2018-03-29
0, 0, 0, -1522288800, 98057, 100255, 中华联合财产保险股份有限公司湖南分公司, http://yun-campus-res.oss-cn-shenzhen.aliyuncs.com/company/1510728496-9580.png, 1, 车辆工程、机械类、汽车服务工程、机械工程、机械设计制造及其自动化、经济学类、法学类、会计学、财务管理、数学类、法学类、法学、法学类、数学类、机械工程、金融学类、保险学, , 正式宣讲, , 国有企业, 金融业, 长沙, 中华联合财产保险股份有限公司湖南分公司, 10:00, , 【常】招生与就业指导处309, , 3307, 毕业生就业指导中心, 0, 1, 0, 0, 0, 0, 2018-03-29
